Rank,Name,City,Country,Region,Manufacturer,Segment,OS,Cores,Memory,Rmax,Rpeak,Power
1,National Supercomputing Center in Wuxi,Wuxi,China,Asia,NRCPC,Research,Other,10649600,1310720,93014.6,125435.9,15371
2,National Super Computer Center in Guangzhou,Guangzhou,China,Asia,NUDT,Research,Other,3120000,1024000,33862.7,54902.4,17808
3,Swiss National Supercomputing Centre (CSCS),Lugano,Switzerland,Europe,Cray Inc.,Research,Cray Linux Environment,361760,340480,19590,25326.3,2271.99
4,DOE/SC/Oak Ridge National Laboratory,Oak Ridge,US,North America,Cray Inc.,Research,Cray Linux Environment,560640,710144,17590,27112.5,8209
5,DOE/NNSA/LLNL,Livermore,US,North America,IBM,Research,Linux,1572864,1572864,17173.2,20132.7,7890
6,DOE/SC/LBNL/NERSC,Berkeley,US,North America,Cray Inc.,Research,Cray Linux Environment,622336,878592,14014.7,27880.7,3939
7,Joint Center for Advanced High Performance Computing,Kashiwa,Japan,Asia,Fujitsu,Academic,Linux,556104,919296,13554.6,24913.5,2718.7
8,RIKEN Advanced Institute for Computational Science (AICS),Kobe,Japan,Asia,Fujitsu,Research,Linux,705024,1410048,10510,11280.4,12659.89
9,DOE/SC/Argonne National Laboratory,Argonne,US,North America,IBM,Research,Linux,786432,NULL,8586.6,10066.3,3945
10,DOE/NNSA/LANL/SNL,Los Alamos,US,North America,Cray Inc.,Research,Cray Linux Environment,301056,NULL,8100.9,11078.9,4232.63
11,United Kingdom Meteorological Office,Exeter,UK,Europe,Cray Inc.,Research,Cray Linux Environment,241920,430080,7038.9,8128.5,3628.8
12,Texas Advanced Computing Center/Univ. of Texas,Austin,US,North America,Dell,Academic,CentOS,285600,403200,6807.1,12794.9,1890
13,Barcelona Supercomputing Center,Barcelona,Spain,Europe,Lenovo,Academic,Other,148176,331776,6227.2,9957.4,1380
14,CINECA,Bologna,Italy,Europe,Lenovo,Academic,Linux,241808,455168,6223,10833,1600.2
15,NASA/Ames Research Center/NAS,Mountain View,US,North America,HPE,Research,SUSE Linux Enterprise Server,241108,917344,5951.6,7107.1,4407
16,DOE/SC/Argonne National Laboratory,Argonne,US,North America,Cray Inc.,Research,Cray Linux Environment,231424,NULL,5884.6,9627.2,1087
17,HLRS,Stuttgart,Germany,Europe,Cray Inc.,Research,Cray Linux Environment,185088,NULL,5640.2,7403.5,3615
18,King Abdullah University of Science and Technology,Jeddah,Saudi Arabia,Asia,Cray Inc.,Academic,Cray Linux Environment,196608,NULL,5537,7235.2,2834
19,Total Exploration Production,Pau,France,Europe,HPE,Industry,SUSE Linux Enterprise Server,220800,54000,5283.1,6712.3,4150
20,Texas Advanced Computing Center/Univ. of Texas,Austin,US,North America,Dell,Academic,Linux,522080,204800,5168.1,9598.2,4510
21,Forschungszentrum Juelich (FZJ),Juelich,Germany,Europe,IBM,Research,Linux,458752,458752,5008.9,5872,2301
22,National Center for Atmospheric Research (NCAR),Boulder,US,North America,HPE,Research,SUSE Linux Enterprise Server,144900,202752,4788.2,5332.3,1727
23,DOE/NNSA/LLNL,Livermore,US,North America,IBM,Research,Linux,393216,393216,4293.3,5033.2,1972
24,Petroleum Geo-Services,Houston,US,North America,Cray Inc.,Industry,Cray Linux Environment,145920,583680,4042.5,5369.9,1800
25,ECMWF,Reading,UK,Europe,Cray Inc.,Research,Cray Linux Environment,126468,NULL,3944.7,4249.3,1897.02
26,ECMWF,Reading,UK,Europe,Cray Inc.,Research,Cray Linux Environment,126468,NULL,3944.7,4249.3,1897.02
27,Government,,US,North America,Cray Inc.,Government,Linux,72800,NULL,3577,6131.8,1498.9
28,Government,,US,North America,Cray Inc.,Government,Linux,72800,NULL,3577,6131.8,1498.9
29,ERDC DSRC,Vicksburg,US,North America,Cray Inc.,Research,Cray Linux Environment,160304,NULL,3409.6,5865.5,1174.1
30,ERDC DSRC,Vicksburg,US,North America,HPE,Research,SUSE Linux Enterprise Server,124200,441600,3318.9,4570.6,2001
31,Facebook,Santa Clara,US,North America,Facebook,Industry,Ubuntu Linux,60512,63488,3307,4896.5,349.5
32,NVIDIA Corporation,,US,North America,Nvidia,Industry,Ubuntu Linux,60512,63488,3307,4896.5,349.5
33,Exploration & Production - Eni S.p.A.,,Italy,Europe,IBM,Industry,Linux,72000,NULL,3188,4605,1227
34,Japan Aerospace eXploration Agency,Tokyo,Japan,Asia,Fujitsu,Research,Linux,110160,103680,3157,3481.1,1652.4
35,Government,,US,North America,Cray Inc.,Government,Cray Linux Environment,225984,NULL,3143.5,4881.3,6327.55
36,Air Force Research Laboratory,Wright-Patterson AFB,US,North America,HPE,Government,SUSE Linux Enterprise Server,152692,447000,3126.2,5610.5,2460.04
37,Academic Center for Computing and Media Studies (ACCMS)-Kyoto University,Kyoto,Japan,Asia,Cray Inc.,Academic,Cray Linux Environment,122400,115200,3057.3,5483.5,748.1
